headword, pos, vietnamese
abandon, verb, từ bỏ  
abbreviate, verb, viết tắt  
abduct, verb, bắt cóc  
aberration, noun, sự lệch lạc  
abhor, verb, ghét cay ghét đắng  
abide, verb, tuân theo  
abrupt, adjective, đột ngột  
absorb, verb, hấp thụ  
abstain, verb, kiêng  
abstract, adjective, trừu tượng  
abundant, adjective, phong phú  
accelerate, verb, tăng tốc  
acclaim, noun, sự hoan nghênh  
accommodate, verb, chứa đựng  
accompany, verb, đi cùng  
accomplish, verb, hoàn thành  
accord, noun, sự thỏa thuận  
accountable, adjective, chịu trách nhiệm  
accrue, verb, tích lũy  
accurate, adjective, chính xác  
accuse, verb, buộc tội  
achieve, verb, đạt được  
acknowledge, verb, thừa nhận  
acquire, verb, đạt được  
acrid, adjective, cay đắng  
balance, noun, sự cân bằng  
banal, adjective, tầm thường  
bane, noun, tai ương  
banish, verb, trục xuất  
barrier, noun, rào cản  
belabor, verb, lải nhải  
belie, verb, làm trái ngược  
belittle, verb, xem thường  
benevolent, adjective, nhân từ  
benign, adjective, lành tính  
bequeath, verb, truyền lại  
berate, verb, mắng mỏ  
beseech, verb, cầu xin  
bestow, verb, ban tặng  
betray, verb, phản bội  
bewilder, verb, làm bối rối  
bizarre, adjective, kỳ lạ  
bland, adjective, nhạt nhẽo  
blatant, adjective, hiển nhiên  
bleak, adjective, ảm đạm  
bliss, noun, niềm hạnh phúc  
boisterous, adjective, ồn ào  
bolster, verb, củng cố  
bombastic, adjective, khoa trương  
boon, noun, lợi ích  
cacophony, noun, tiếng chói tai  
cajole, verb, tán tỉnh  
calamity, noun, thảm họa  
callous, adjective, nhẫn tâm  
candid, adjective, thẳng thắn  
cantankerous, adjective, khó tính  
capacious, adjective, rộng rãi  
capitulate, verb, đầu hàng  
captivate, verb, làm say đắm  
caricature, noun, tranh biếm họa  
catalyst, noun, chất xúc tác  
caustic, adjective, chua cay  
censure, noun, sự chỉ trích  
chaos, noun, hỗn loạn  
chastise, verb, trừng phạt  
chide, verb, mắng  
chronic, adjective, mãn tính  
chronicle, verb, ghi chép lại  
circumvent, verb, né tránh  
clamor, noun, tiếng la hét  
clandestine, adjective, bí mật  
clarity, noun, sự rõ ràng  
cloying, adjective, ngọt ngào quá mức  
coalesce, verb, hợp nhất  
coerce, verb, ép buộc  
daunt, verb, làm nản chí  
dearth, noun, sự thiếu hụt  
debacle, noun, sự thất bại  
debilitate, verb, làm suy yếu  
debris, noun, mảnh vụn  
decadent, adjective, suy đồi  
decipher, verb, giải mã  
decree, noun, sắc lệnh  
decry, verb, công khai chỉ trích  
deference, noun, sự tôn trọng  
deft, adjective, khéo léo  
defunct, adjective, không còn tồn tại  
degenerate, verb, thoái hóa  
degrade, verb, làm giảm giá trị  
dehydrate, verb, mất nước  
deleterious, adjective, có hại  
deliberate, adjective, cố ý  
delineate, verb, mô tả  
deluge, noun, lũ lụt  
demagogue, noun, kẻ mị dân  
demure, adjective, nghiêm trang  
denounce, verb, tố cáo  
deplete, verb, làm cạn kiệt  
deplore, verb, thương xót  
deploy, verb, triển khai  
ebullient, adjective, sôi nổi  
eccentric, adjective, lập dị  
eclectic, adjective, chiết trung  
efface, verb, xóa bỏ  
effervescent, adjective, sủi bọt  
efficacy, noun, hiệu quả  
egalitarian, adjective, bình đẳng  
egregious, adjective, nghiêm trọng  
elaborate, adjective, phức tạp  
elated, adjective, phấn khởi  
elegy, noun, bài thơ bi ai  
elicit, verb, gợi ra  
eloquent, adjective, hùng hồn  
elucidate, verb, làm sáng tỏ  
elusive, adjective, khó nắm bắt  
emaciated, adjective, gầy yếu  
embellish, verb, tô điểm  
eminent, adjective, nổi bật  
empathy, noun, sự đồng cảm  
empirical, adjective, dựa trên kinh nghiệm  
emulate, verb, cạnh tranh  
enervate, verb, làm kiệt sức  
engender, verb, sinh ra  
enhance, verb, nâng cao  
enigmatic, adjective, bí ẩn  
facetious, adjective, khôi hài
fallacy, noun, ngụy biện  
fathom, verb, hiểu thấu  
fatuous, adjective, ngu ngốc  
feasible, adjective, khả thi  
felicitous, adjective, phù hợp  
feral, adjective, hoang dã  
fervent, adjective, nhiệt thành  
fickle, adjective, dễ thay đổi  
fidelity, noun, sự trung thành  
figurative, adjective, nghĩa bóng  
flabbergasted, adjective, kinh ngạc  
flagrant, adjective, trắng trợn  
florid, adjective, hoa mỹ  
fluctuate, verb, dao động  
forbearance, noun, sự kiên nhẫn  
forestall, verb, ngăn chặn  
formidable, adjective, đáng gờm  
fortuitous, adjective, tình cờ  
foster, verb, nuôi dưỡng  
fractious, adjective, cứng đầu  
frank, adjective, thẳng thắn  
fraudulent, adjective, lừa đảo  
frenetic, adjective, cuồng nhiệt  
frugal, adjective, tiết kiệm  
gainsay, verb, phủ nhận  
garrulous, adjective, nói nhiều  
genial, adjective, thân thiện  
germane, adjective, thích hợp  
gibe, noun, lời chế giễu  
gluttony, noun, thói tham ăn  
grandiose, adjective, hùng vĩ  
gratuitous, adjective,  vô cớ  
gregarious, adjective, hòa đồng  
guile, noun, sự lừa dối  
gullible, adjective, cả tin  
hackneyed, adjective, nhàm chán  
hallowed, adjective, linh thiêng  
hapless, adjective, rủi ro  
harangue, noun, bài diễn thuyết  
harbinger, noun, điềm báo  
haughty, adjective, kiêu ngạo  
heed, verb, chú ý  
heinous, adjective, tàn ác  
heresy, noun, dị giáo  
hiatus, noun, gián đoạn  
hierarchy, noun, hệ thống cấp bậc  
histrionic, adjective, điệu bộ  
homogeneous, adjective, đồng nhất  
hubris, noun, tự phụ  
iconoclast, noun, người đả phá tín ngưỡng  
idiosyncrasy, noun, đặc tính  
idle, adjective, lười biếng  
ignominious, adjective, ô nhục  
illicit, adjective, bất hợp pháp  
illuminate, verb, chiếu sáng  
illusory, adjective, ảo tưởng  
imminent, adjective, sắp xảy ra  
immutable, adjective, bất biến  
impassive, adjective, thản nhiên  
impeccable, adjective, hoàn hảo  
impecunious, adjective, nghèo túng  
imperative, adjective, bắt buộc  
imperious, adjective, hống hách  
impertinent, adjective, hỗn xược  
impervious, adjective, không thấm  
impetuous, adjective, mạnh mẽ  
implement, verb, thực hiện  
implicate, verb, liên quan  
implicit, adjective, ngầm hiểu  
impose, verb, áp đặt  
imprudent, adjective, khinh suất  
impudent, adjective, trơ tráo  
inadvertent, adjective, vô tình  
inane, adjective, vô nghĩa  
jaded, adjective, chán ngấy  
jeopardize, verb, gây nguy hiểm  
jovial, adjective, vui vẻ  
judicious, adjective, sáng suốt  
juxtapose, verb, đặt cạnh nhau  
jubilant, adjective, hân hoan  
jargon, noun, biệt ngữ  
jocular, adjective, hài hước  
jovial, adjective, vui tính  
judicious, adjective, sáng suốt  
juvenile, adjective, vị thành niên  
justify, verb, biện minh  
jurisdiction, noun, quyền tài phán  
juxtaposition, noun, sự kề nhau  
jeer, verb, chế giễu  
jest, noun, trò đùa  
jilt, verb, bỏ rơi  
jostle, verb, chen lấn  
joyous, adjective, vui mừng  
judgmental, adjective, phán xét  
junket, noun, tiệc chiêu đãi  
justifiable, adjective, có thể bào chữa  
juvenescence, noun, sự trẻ trung  
juxtapose, verb, đặt cạnh nhau  
jubilant, adjective, hân hoan  
keen, adjective, sắc bén  
kindle, verb, đốt cháy  
kinetic, adjective, động lực  
knack, noun, sở trường  
knotty, adjective, rắc rối  
keen, adjective, hăng hái  
ken, noun, tầm hiểu biết  
kibosh, noun, cấm cản  
kindred, adjective, cùng loại  
kindness, noun, lòng tốt  
kitsch, noun, nghệ thuật tầm thường  
kin, noun, họ hàng  
kinship, noun, mối quan hệ họ hàng  
knavery, noun, sự bất lương  
knell, noun, tiếng chuông báo tử  
kudos, noun, lời khen  
kingpin, noun, nhân vật chủ chốt  
kith, noun, bạn bè  
knead, verb, nhào nặn  
knighthood, noun, tước hiệp sĩ  
knockout, noun, cú đánh hạ đo ván  
knowledgeable, adjective, hiểu biết  
kudos, noun, lời khen ngợi  
kingdom, noun, vương quốc  
keel, noun, sống thuyền  
laborious, adjective, chăm chỉ  
lacerate, verb, xé rách  
lachrymose, adjective, buồn rầu  
lackluster, adjective, mờ nhạt  
laconic, adjective, ngắn gọn  
lament, verb, than vãn  
lampoon, verb, châm biếm  
languid, adjective, uể oải  
languish, verb, mòn mỏi  
latent, adjective, tiềm tàng  
laud, verb, ca ngợi  
lavish, adjective, xa hoa  
lethargic, adjective, mệt mỏi  
levity, noun, tính khinh suất  
libel, noun, sự bôi nhọ  
liberate, verb, giải phóng  
libertine, noun, người phóng đãng  
licentious, adjective, phóng túng  
limpid, adjective, trong suốt  
lithe, adjective, uyển chuyển  
loquacious, adjective, nói nhiều  
lucid, adjective, rõ ràng  
lugubrious, adjective, sầu thảm  
lurid, adjective, ghê gớm  
lurk, verb, ẩn nấp  
magnanimous, adjective, hào hiệp  
malevolent, adjective, ác ý  
malfeasance, noun, hành động phi pháp  
malign, verb, nói xấu  
malleable, adjective, dễ uốn  
manifest, adjective, rõ ràng  
manifold, adjective, đa dạng  
marginalize, verb, gạt ra ngoài lề  
martinet, noun, người kỷ luật  
maudlin, adjective, sướt mướt  
meander, verb, quanh co  
mediocre, adjective, tầm thường  
melancholy, adjective, u sầu  
mellifluous, adjective, ngọt ngào  
mendacious, adjective, dối trá  
mercenary, adjective, vụ lợi  
mercurial, adjective, hay thay đổi  
meticulous, adjective, tỉ mỉ  
misanthrope, noun, kẻ ghét người  
misconstrue, verb, hiểu sai  
mitigate, verb, giảm nhẹ  
modicum, noun, chút ít  
mollify, verb, làm dịu  
moribund, adjective, sắp chết  
mundane, adjective, trần tục  
nadir, noun, điểm thấp nhất  
nascent, adjective, mới sinh  
nebulous, adjective, mơ hồ  
nefarious, adjective, hung ác  
negligible, adjective, không đáng kể  
nemesis, noun, kẻ thù không đội trời chung  
neophyte, noun, người mới  
nocturnal, adjective, về đêm  
noisome, adjective, hôi thối  
nomadic, adjective, du mục  
nominal, adjective, nhỏ bé  
nonchalant, adjective, thờ ơ  
nondescript, adjective, không có đặc điểm gì nổi bật  
nonplussed, adjective, bối rối  
nostalgia, noun, nỗi nhớ nhà  
notoriety, noun, tai tiếng  
noxious, adjective, độc hại  
nuance, noun, sắc thái  
nullify, verb, làm mất hiệu lực  
numinous, adjective, linh thiêng  
nurture, verb, nuôi dưỡng  
nymph, noun, nữ thần nhỏ  
narrative, noun, câu chuyện  
nebulous, adjective, mơ hồ  
nourish, verb, nuôi dưỡng  
obdurate, adjective, cứng đầu  
obfuscate, verb, làm rối rắm  
oblivious, adjective, lãng quên  
obnoxious, adjective, khó chịu  
obscure, adjective, mơ hồ  
obsequious, adjective, nịnh nọt  
obsolete, adjective, lỗi thời  
obstinate, adjective, bướng bỉnh  
obstreperous, adjective, ồn ào  
obtuse, adjective, chậm hiểu  
odious, adjective, ghê tởm  
officious, adjective, lăng xăng  
ominous, adjective, điềm báo  
onerous, adjective, nặng nề  
opaque, adjective, mờ đục  
opulent, adjective, giàu có  
oracle, noun, lời tiên tri  
orator, noun, diễn giả  
ornate, adjective, hoa mỹ  
oscillate, verb, dao động  
ostentatious, adjective, phô trương  
ostracize, verb, tẩy chay  
outlandish, adjective, kỳ quặc  
overwrought, adjective, xúc động mạnh  
oxymoron, noun, sự mâu thuẫn  
pacify, verb, làm dịu  
palatable, adjective, ngon miệng  
palliate, verb, làm dịu  
palpable, adjective, rõ ràng  
panacea, noun, thuốc chữa bách bệnh  
paradigm, noun, mô hình  
paragon, noun, mẫu mực  
paramount, adjective, tối cao  
pariah, noun, kẻ bị ruồng bỏ  
parody, noun, sự nhại  
parsimonious, adjective, keo kiệt  
partisan, noun, người ủng hộ  
patent, adjective, rõ ràng  
paternal, adjective, thuộc về cha  
pathetic, adjective, thảm hại  
patronize, verb, bảo trợ  
paucity, noun, sự thiếu thốn  
pejorative, adjective, có ý xúc phạm  
pellucid, adjective, trong suốt  
penchant, noun, sở thích  
penitent, adjective, hối lỗi  
penurious, adjective, nghèo túng  
perceptive, adjective, sâu sắc  
perennial, adjective, lâu năm  
perfidious, adjective, phản bội  
quaint, adjective, kỳ lạ  
quandary, noun, tình thế khó xử  
quell, verb, dập tắt  
querulous, adjective, cằn nhằn  
quiescent, adjective, yên lặng  
quintessential, adjective, tinh hoa  
quip, noun, lời nói đùa  
quixotic, adjective, không thực tế  
quizzical, adjective, nghi vấn  
quibble, noun, lời phản đối nhỏ  
quagmire, noun, tình thế khó khăn  
quarantine, noun, cách ly  
quash, verb, dập tắt  
querulous, adjective, hay càu nhàu  
quintessence, noun, tinh chất  
quibble, verb, nói lý sự  
quiescent, adjective, yên tĩnh  
quixotic, adjective, viễn vông  
quota, noun, chỉ tiêu  
quaint, adjective, kỳ lạ  
quorum, noun, số đại biểu tối thiểu  
quarantine, noun, sự cách ly  
quell, verb, đàn áp  
quizzical, adjective, thắc mắc  
quintessential, adjective, tinh hoa
raconteur, noun, người kể chuyện  
rampant, adjective, tràn lan  
ramshackle, adjective, xiêu vẹo  
rancor, noun, sự thù oán  
rapacious, adjective, tham lam  
rapport, noun, mối quan hệ tốt  
rash, adjective, hấp tấp  
raze, verb, san bằng  
rebuff, verb, từ chối thẳng thừng  
rebuke, verb, khiển trách  
recalcitrant, adjective, ngoan cố  
recant, verb, rút lui  
recluse, noun, người sống ẩn dật  
recondite, adjective, khó hiểu  
recruit, verb, tuyển dụng  
rectify, verb, sửa chữa  
redundant, adjective, dư thừa  
refute, verb, bác bỏ  
regale, verb, chiêu đãi  
relegate, verb, giáng chức  
relinquish, verb, từ bỏ  
remedial, adjective, khắc phục  
remiss, adjective, cẩu thả  
remorse, noun, sự hối hận  
renegade, noun, kẻ phản bội  
sagacious, adjective, thông minh
salient, adjective, nổi bật  
salubrious, adjective, lành mạnh  
sanctimonious, adjective, đạo đức giả  
sanguine, adjective, lạc quan  
sardonic, adjective, mỉa mai  
satiate, verb, làm thoả mãn  
scathing, adjective, nghiêm khắc  
scintillating, adjective, sáng chói  
scrupulous, adjective, cẩn thận  
scrutinize, verb, xem xét kỹ lưỡng  
secluded, adjective, hẻo lánh  
sedate, adjective, bình thản  
sedition, noun, sự xúi giục nổi loạn  
sequester, verb, cô lập  
serendipity, noun, sự may mắn  
servile, adjective, nô lệ  
shirk, verb, trốn tránh  
shrewd, adjective, khôn ngoan  
slander, verb, vu khống  
sluggish, adjective, chậm chạp  
solicitous, adjective, quan tâm  
solitude, noun, cô đơn  
somber, adjective, u ám  
spurious, adjective, giả mạo  
tacit, adjective, ngầm hiểu  
taciturn, adjective, ít nói  
tangible, adjective, hữu hình  
tantamount, adjective, tương đương  
tedious, adjective, buồn chán  
temerity, noun, sự táo bạo  
temper, verb, làm dịu đi  
temperate, adjective, ôn hòa  
tenacious, adjective, kiên trì  
tenet, noun, giáo lý  
tentative, adjective, tạm thời  
tepid, adjective, nhạt nhẽo  
terse, adjective, ngắn gọn  
thwart, verb, cản trở  
timid, adjective, rụt rè  
tirade, noun, tràng đả kích  
torpid, adjective, uể oải  
tortuous, adjective, quanh co  
tractable, adjective, dễ bảo  
transient, adjective, tạm thời  
trenchant, adjective, sắc bén  
trite, adjective, nhàm chán  
truculent, adjective, hung hăng  
turbulent, adjective, hỗn loạn  
turgid, adjective, cồng kềnh  
ubiquitous, adjective, có mặt khắp nơi  
ulterior, adjective, bí ẩn  
ultimate, adjective, tối hậu  
umbrage, noun, sự phật ý  
unabashed, adjective, không xấu hổ  
unanimous, adjective, đồng lòng  
unassailable, adjective, không thể bác bỏ  
unconscionable, adjective, vô lương tâm  
undermine, verb, làm suy yếu  
unequivocal, adjective, rõ ràng  
ungainly, adjective, vụng về  
unilateral, adjective, đơn phương  
unobtrusive, adjective, khiêm tốn  
unprecedented, adjective, chưa từng có  
unseemly, adjective, không thích hợp  
unsightly, adjective, khó coi  
untenable, adjective, không thể duy trì  
untimely, adjective, không đúng lúc  
upbraid, verb, trách mắng  
urbane, adjective, lịch sự  
usurp, verb, chiếm đoạt  
utilitarian, adjective, thực dụng  
utopian, adjective, không tưởng  
utter, verb, phát biểu  
unwavering, adjective, kiên định
